"UNITID","INSTNM","ADDR","CITY","STABBR","ZIP","FIPS","OBEREG","CHFNM","CHFTITLE","GENTELE","EIN","OPEID","OPEFLAG","WEBADDR","ADMINURL","FAIDURL","APPLURL","NPRICURL","SECTOR","ICLEVEL","CONTROL","HLOFFER","UGOFFER","GROFFER","HDEGOFR1","DEGGRANT","HBCU","HOSPITAL","MEDICAL","TRIBAL","LOCALE","OPENPUBL","ACT","NEWID","DEATHYR","CLOSEDAT","CYACTIVE","POSTSEC","PSEFLAG","PSET4FLG","RPTMTH","IALIAS","INSTCAT","CCBASIC","CCIPUG","CCIPGRAD","CCUGPROF","CCENRPRF","CCSIZSET","CARNEGIE","LANDGRNT","INSTSIZE","CBSA","CBSATYPE","CSA","NECTA","F1SYSTYP","F1SYSNAM","FAXTELE","COUNTYCD","COUNTYNM","CNGDSTCD","LONGITUD","LATITUDE"
104151,"Arizona State University","University Drive and Mill Avenue","Tempe","AZ","85287"," 4"," 6","Michael M. Crow","President","4809652100","860196696","00108100",1,"www.asu.edu/","https://students.asu.edu/admission","https://students.asu.edu/financialaid","https://webapp4.asu.edu/ugapp/mainmenulogic","students.asu.edu/costs",1,1,1,9,1,1,11,1,2,2,2,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1,"ASU",2,15,11,15,11,4,15,15,2,5,38060,1,-2,-2,1,"Arizona Board of Regents","4809653610",4013,"Maricopa County",409,-111.940011,33.421922
106458,"Arkansas State University-Main Campus","2105 E. Aggie Road","Jonesboro","AR","72401"," 5"," 5","Dr. Tim Hudson","Chancellor","8709722100","716000556","00109000",1,"www2.astate.edu","admissions.astate.edu/","finaid.astate.edu/","www2.astate.edu/a/student-affairs/admissions/apply-now/","www.astate.edu/a/student-affairs/finaid/npc.dot",1,1,1,9,1,1,11,1,2,2,2,2,13,1,"A ",-2,-2,"-2",1,1,1,1,1,"Arkansas State University-Jonesboro",2,18,13,18,9,4,12,21,2,4,27860,1,308,-2,1,"Arkansas State University System","8709723406",5031,"Craighead County",501,-90.680478,35.842779
100858,"Auburn University","Auburn, Alabama","Auburn University","AL","36849"," 1"," 5","Jay Gogue","President","3348444000","636000724","00100900",1,"www.auburn.edu","www.auburn.edu/admissions/","www.auburn.edu/administration/business_office/finaid/","www.auburn.edu/admissions/apply/","www.auburn.edu/admissions/money-matters.html",1,1,1,9,1,1,11,1,2,2,1,2,13,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,16,14,14,13,4,15,15,1,5,12220,1,194,-2,1,"Auburn University"," ",1081,"Lee County",103,-85.492409,32.600201
150136,"Ball State University","2000 University Ave","Muncie","IN","47306",18," 3","Dr. Jo Ann M. Gora","President","7652891241","356000221","00178600",1,"www.bsu.edu","www.bsu.edu/web/admissions/","www.bsu.edu/finaid","cms.bsu.edu/AdmissionsLanding/UndergraduateAdmissions/ApplyNow.aspx","cms.bsu.edu/AdmissionsLanding/ScholarshipsandFinancialAid/NetPriceCalculator.aspx",1,1,1,9,1,1,11,1,2,2,2,2,13,1,"A ",-2,-2,"-2",1,1,1,1,1,"BSU|Ball U",2,16,13,15,10,4,16,16,2,5,34620,1,294,-2,2," "," ",18035,"Delaware County",1806,-85.408863,40.198942
223232,"Baylor University","500 Speight Ave.","Waco","TX","76798",48," 6","Kenneth W. Starr","President","2547101011","741159753","00354500",1,"www.baylor.edu","www.baylor.edu/adm","www.baylor.edu/admissions/index.php?id=82201","www.baylor.edu/adm","www.baylor.edu/sfs/index.php?id=85858",2,1,2,9,1,1,11,1,2,2,2,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,16,11,15,12,4,16,16,2,4,47380,1,-2,-2,2," "," ",48309,"McLennan County",4817,-97.119359,31.545956
142115,"Boise State University","1910 University Dr","Boise","ID","83725",16," 7","Dr. Bob Kustra","President","2084261011","820290701","00161600",1,"www.boisestate.edu","admissions.boisestate.edu/","financialaid.boisestate.edu/","admissions.boisestate.edu/apply","admissions.boisestate.edu/estimator",1,1,1,9,1,1,12,1,2,2,2,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1,"Boise State",2,18,10,18,8,3,15,21,2,5,14260,1,147,-2,1,"Idaho State Board of Education"," ",16001,"Ada County",1602,-116.205789,43.604403
164924,"Boston College","140 Commonwealth Avenue","Chestnut Hill","MA","02467",25," 1","William P. Leahy, S.J.","President","6175528000","042103545","00212800",1,"www.bc.edu"," "," "," ","npc.collegeboard.org/student/app/bc",2,1,2,9,1,1,11,1,2,2,2,2,13,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,16,8,15,12,5,17,15,2,4,14460,1,148,71650,2," "," ",25017,"Middlesex County",2504,-71.171488,42.337688
201441,"Bowling Green State University-Main Campus","220 McFall Ctr","Bowling Green","OH","43403",39," 3","Mary Ellen Mazey","President","4193722531","346402018","00301800",1,"www.bgsu.edu","choose.bgsu.edu/","www.bgsu.edu/offices/sfa/","choose.bgsu.edu/apply/online/","sfa.bgsu.edu/net_price_calculator/main/",1,1,1,9,1,1,12,1,2,2,2,2,31,1,"A ",-2,-2,"-2",1,1,1,1,1,"BGSU",2,16,13,15,10,4,16,16,2,4,45780,1,534,-2,2," ","4193726955",39173,"Wood County",3905,-83.637531,41.377036
230038,"Brigham Young University-Provo","Main Campus","Provo","UT","84602",49," 7","Cecil O. Samuelson","President","8014224636","-1","00367000",1,"www.byu.edu","saas.byu.edu/tools/b4byu/sites/b4/","saas.byu.edu/financialAid/","www.besmart.com/admissions/apply.honorcode.php","saas.byu.edu/financialAid/netpricecalculator/BYU_NetPriceCalculator.htm",2,1,2,9,1,1,11,1,2,2,2,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1,"BYU",2,16,11,18,12,3,15,15,2,5,39340,1,482,-2,2," "," ",49049,"Utah County",4903,-111.649281,40.250851
110556,"California State University-Fresno","5241 N Maple Ave","Fresno","CA","93740"," 6"," 8","John D Welty","President","5592784240","946001347","00114700",1,"www.csufresno.edu"," "," "," ","www.collegeportraits.org/CA/CSUFRESNO/costs",1,1,1,9,1,1,12,1,2,2,2,2,11,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,18,11,12,9,4,15,21,2,5,23420,1,260,-2,1,"California State University"," ",6019,"Fresno County",622,-119.748258,36.814477
169248,"Central Michigan University","106 Warriner Hall","Mount Pleasant","MI","48859",26," 3","George E. Ross","President","9897744000","386004447","00224300",1,"go.cmich.edu","go.cmich.edu/apply","go.cmich.edu/financial_information/OfficeofScholarshipsandFinancialAid","apply.cmich.edu","netconnect.cmich.edu/netpricecalculator",1,1,1,9,1,1,11,1,2,2,2,2,32,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,17,13,18,10,4,16,16,2,5,34380,2,394,-2,2," ","9897741408",26073,"Isabella County",2604,-84.776729,43.610947
217882,"Clemson University","201 Sikes Hall","Clemson","SC","29634",45," 5","James F. Barker","President","8646564636","576000254","00342500",1,"www.clemson.edu","www.clemson.edu/admissions/index.html","www.clemson.edu/finaid/","https://www.applyweb.com/apply/clemson/","workgroups.clemson.edu/A_A_5690_OIR/cunpc/index.cgi",1,1,1,9,1,1,12,1,2,2,2,2,21,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,16,14,17,13,4,16,15,1,5,24860,1,273,-2,2," ","8646562464",45077,"Pickens County",4503,-82.834463,34.677329
126818,"Colorado State University-Fort Collins","102 Administration Building","Fort Collins","CO","80523-0100"," 8"," 7","Anthony A. Frank","President","9704911101","846000545","00135000",1,"www.colostate.edu"," "," "," ","tuition.colostate.edu/Main.aspx",1,1,1,9,1,1,11,1,2,2,1,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,15,11,17,11,4,16,15,1,5,22660,1,-2,-2,1,"Colorado State University System"," ",8069,"Larimer County",802,-105.08083,40.574759
198419,"Duke University","103 Allen Bldg","Durham","NC","27708",37," 5","Richard Brodhead","President","9196848111","560532129","00292000",1,"WWW.DUKE.EDU","www.admissions.duke.edu","www.finaid.duke.edu","www.commonapp.org/CommonApp/default.aspx","npc.collegeboard.org/student/app/duke",2,1,2,9,1,1,11,1,2,1,1,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,15,8,14,12,6,17,15,2,4,20500,1,450,-2,2," "," ",37063,"Durham County",3701,-78.94226,36.00159
198464,"East Carolina University","East 5th Street","Greenville","NC","27858-4353",37," 5","Steve Ballard","Chancellor","2523286131","566000403","00292300",1,"www.ecu.edu","www.ecu.edu/admissions/","www.ecu.edu/financial/","https://www1.cfnc.org/applications/East_Carolina_University/apply.html?application_id=1538","www.collegeportraits.org/NC/ECU/estimator/agree",1,1,1,9,1,1,11,1,2,2,1,2,13,1,"A ",-2,-2,"-2",1,1,1,1,1,"ECU",2,17,14,18,11,4,15,16,2,5,24780,1,274,-2,1,"University of North Carolina"," ",37147,"Pitt County",3703,-77.366199,35.606347
169798,"Eastern Michigan University","202 Welch Hall","Ypsilanti","MI","48197",26," 3","Dr. Susan Martin","President","7344871849","386005986","00225900",1,"www.emich.edu","www.emich.edu/admissions/","www.emich.edu/finaid/","www.emich.edu/admissions/apply/","www.emich.edu/finaid/calculator/",1,1,1,9,1,1,12,1,2,2,2,2,21,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,18,14,18,8,4,15,21,2,5,11460,1,220,-2,2," "," ",26161,"Washtenaw County",2612,-83.627076,42.247936
133669,"Florida Atlantic University","777 Glades Rd","Boca Raton","FL","33431-0991",12," 5","Mary Jane Saunders","President","5612973000","650385507","00148100",1,"www.fau.edu/","www.fau.edu/admissions/","www.fau.edu/finaid/","www.fau.edu/admissions/Apply_Online.php","www.fau.edu/admissions/npcalc.htm",1,1,1,9,1,1,11,1,2,2,2,2,13,1,"A ",-2,-2,"-2",1,1,1,1,1,"FAU",2,16,14,18,6,4,15,16,2,5,33100,1,370,-2,1,"State University System of Florida"," ",12099,"Palm Beach County",1222,-80.102293,26.372536
133951,"Florida International University","11200 S. W. 8 Street","Miami","FL","33199",12," 5","Mark Rosenberg","President","3053482000","596001874","00963500",1,"www.fiu.edu","admissions.fiu.edu/","finaid.fiu.edu/","www.fiu.edu","www.collegeportraits.org/FL/FIU/estimator/agree",1,1,1,9,1,1,11,1,2,2,1,2,21,1,"A ",-2,-2,"-2",1,1,1,1,1,"FIU",2,16,14,15,8,4,15,15,2,5,33100,1,370,-2,1,"State University System of Florida"," ",12086,"Miami-Dade County",1226,-80.377591,25.757111
134097,"Florida State University","222 S. Copeland Street","Tallahassee","FL","32306-1037",12," 5","Eric J. Barron","President","8506442525","591961248","00148900",1,"www.fsu.edu","admissions.fsu.edu/","financialaid.fsu.edu/","https://admissions.fsu.edu/undergradapp/","www.collegeportraits.org/FL/FSU/estimator",1,1,1,9,1,1,11,1,2,2,1,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1,"Florida State|F.S.U.|FSU|F. S. U.|Fla. State University|Fla. State|Fl State University|Fl State|FL State University|FL State|Seminoles|Noles|Florida State Seminoles|Florida State University Seminoles|Fl. State|Fl. State University|The Florida State University|Floridia State University|Florda State University|Florida State Univerisity|Flordia State University|Florida State Unversity|",2,15,11,14,13,4,15,15,2,5,45220,1,533,-2,1,"State University System of Florida","8506440197",12073,"Leon County",1202,-84.290883,30.439741
139755,"Georgia Institute of Technology-Main Campus","225 North Ave","Atlanta","GA","30332-0530",13," 5","G.P.  Bud  Peterson","President","4048942000","586002023","00156900",1,"www.gatech.edu","www.admission.gatech.edu/","www.finaid.gatech.edu/","www.admission.gatech.edu/apply/"," ",1,1,1,9,1,1,12,1,2,2,2,2,11,1,"A ",-2,-2,"-2",1,1,1,1,1,"Georgia Tech",2,15,14,15,12,5,17,15,2,5,12060,1,122,-2,1,"University System of Georgia"," ",13121,"Fulton County",1305,-84.396019,33.773732
139940,"Georgia State University","33 gilmer st","Atlanta","GA","30303-3083",13," 5","Mark P. Becker","President","4044132000","586002050","00157400",1,"www.gsu.edu","www.gsu.edu/admissions/","www.gsu.edu/es/financial_aid.html","www.gsu.edu/gastate_admissions.html","www.gsu.edu/admissions/cost_calculator.html",1,1,1,9,1,1,11,1,2,2,2,2,11,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,15,11,15,8,4,15,15,2,5,12060,1,122,-2,1,"University System of Georgia","4044132002",13121,"Fulton County",1305,-84.38667,33.7527
151351,"Indiana University-Bloomington","107 South Indiana Ave.","Bloomington","IN","47405-7000",18," 3","Michael McRobbie","President","8128554848","356001673","00180900",1,"www.iub.edu","admit.indiana.edu/","www.indiana.edu/~sfa/","admit.indiana.edu/apply/freshmen/apply.shtml","npc.collegeboard.org/student/app/indiana",1,1,1,9,1,1,11,1,2,2,2,2,13,1,"A ",-2,-2,"-2",1,1,1,1,1,"IU|IUB|IU Bloomington|",2,15,11,15,12,4,16,15,2,5,14020,1,144,-2,1,"Indiana University"," ",18105,"Monroe County",1809,-86.526904,39.166383
153603,"Iowa State University","3410 Beardshear Hall","Ames","IA","50011-2030",19," 4","Steven Leath","President","5152945836","426004224","00186900",1,"www.iastate.edu","www.admissions.iastate.edu/","www.financialaid.iastate.edu/","www.admissions.iastate.edu/apply/","www.financialaid.iastate.edu/planning/financialcalculator.php",1,1,1,9,1,1,11,1,2,2,1,2,13,1,"A ",-2,-2,"-2",1,1,1,1,1,"ISU",2,15,14,14,13,4,16,15,1,5,11180,1,218,-2,2," ","5152942592",19169,"Story County",1904,-93.648353,42.026368
155399,"Kansas State University","Anderson Hall","Manhattan","KS","66506",20," 4","Kirk Schulz","President","7855326011","480771751","00192800",1,"www.k-state.edu","www.k-state.edu/admissions/","www.k-state.edu/sfa","https://apply.k-state.edu/app/open/ChooseTerm_open.action","www.k-state.edu/admissions/finaid/",1,1,1,9,1,1,11,1,2,2,1,2,13,1,"A ",-2,-2,"-2",1,1,1,1,1,"K-State",2,16,14,14,11,4,16,15,1,5,31740,1,358,-2,1,"Kansas State University System","7855326393",20161,"Riley County",2001,-96.581077,39.188616
203517,"Kent State University at Kent","Executive Office, 2nd Floor Library","Kent","OH","44242-0001",39," 3","Dr. Lester Lefton","President","3306723000","316402079","00305100",1,"www.kent.edu"," "," "," ","cmsprod.uis.kent.edu/about/administration/EMSA/financialaid/ksunpc.cfm",1,1,1,9,1,1,11,1,2,2,2,2,21,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,16,14,15,11,4,16,15,2,5,10420,1,184,-2,1,"The University System of Ohio"," ",39133,"Portage County",3913,-81.342253,41.146856
159391,"Louisiana State University and Agricultural & Mechanical College","156 Thomas Boyd Hall","Baton Rouge","LA","70803-2750",22," 5","William Jenkins","Chancellor","2255783202","726000848","00201000",1,"www.lsu.edu","www.lsu.edu/departments/admissions/","www.lsu.edu/financialaid/","www.lsu.edu/departments/admissions/","www.lsu.edu/departments/financialaid/item30486",1,1,1,9,1,1,11,1,2,2,1,2,41,1,"A ",-2,-2,"-2",1,1,1,1,1,"Louisiana State University|LSU",2,15,11,14,12,4,16,15,1,5,12940,1,-2,-2,1,"Louisiana State University System","2255785982",22033,"East Baton Rouge Parish",2202,-91.196656,30.552111
159647,"Louisiana Tech University","305 Wisteria","Ruston","LA","71272",22," 5","Daniel D. Reneau","President","3182572000","726000792","00200800",1,"www.latech.edu","www.latech.edu/admissions/","www.latech.edu/finaid/","www.latech.edu/admissions/apply.shtml","www.latech.edu/financial_aid/netprice/npcalc.htm",1,1,1,9,1,1,11,1,2,2,2,2,32,1,"A ",-2,-2,"-2",1,1,1,1,1,"LA Tech, Louisiana Tech, Tech",2,16,13,18,10,4,13,16,2,4,40820,2,384,-2,1,"The University of Louisiana System","3182572499",22061,"Lincoln Parish",2205,-92.64964,32.525518
237525,"Marshall University","1 John Marshall Dr","Huntington","WV","25755",54," 5","Dr. Stephen James Kopp","President","8006423463","556000789","00381500",1,"www.marshall.edu/","www.marshall.edu/admissions/","www.marshall.edu/wpmu/sfa/","www.marshall.edu/admissions/apply.asp","marshall.studentaidcalculator.com/survey.aspx",1,1,1,9,1,1,11,1,2,2,1,2,13,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,18,11,18,11,4,16,21,2,4,26580,1,170,-2,1,"West Virginia Higher Education Policy Commission"," ",54011,"Cabell County",5403,-82.43065,38.42261
204024,"Miami University-Oxford","501 East High St","Oxford","OH","45056",39," 3","David Hodge","President","5135291809","316402089","00307700",1,"www.miami.miamioh.edu","www.miami.miamioh.edu/admission/admission/index.html","www.miami.miamioh.edu/admission/finaid/index.html","www.miami.miamioh.edu/admission/admission/high-school/application/index.html","www.miamioh.edu/netpricecalculator",1,1,1,9,1,1,12,1,2,2,2,2,31,1,"A ",-2,-2,"-2",1,1,1,1,1,"Miami of Ohio",2,16,10,15,12,3,17,16,2,4,17140,1,178,-2,2," ","5135293841",39017,"Butler County",3908,-84.731821,39.509642
171100,"Michigan State University"," ","East Lansing","MI","48824-1046",26," 3","Lou Anna K Simon","President","5173551855","386005984","00229000",1,"www.msu.edu","www.admissions.msu.edu/","www.finaid.msu.edu/","www.admissions.msu.edu/apply.asp","finaid.msu.edu/calc.asp",1,1,1,9,1,1,11,1,2,2,1,2,13,1,"A ",-2,-2,"-2",1,1,1,1,1,"MSU|Spartans|MI State University|State|MI State U",2,15,11,14,12,4,16,15,1,5,29620,1,330,-2,2," "," ",26065,"Ingham County",2608,-84.473639,42.72476
220978,"Middle Tennessee State University","1301 East Main Street","Murfreesboro","TN","37132",47," 5","Dr. Sidney A. McPhee","President","6158982300","626005794","00351000",1,"www.mtsu.edu","www.mtsu.edu/admissn/","www.mtsu.edu/admissn/fin_admissn.php","www.mtsu.edu/applynow/","www.mtsu.edu/financialaid/npcalc/npcalc.htm",1,1,1,9,1,1,12,1,2,2,2,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,17,10,15,10,3,15,16,2,5,34980,1,400,-2,1,"The State University and Community College System of Tennessee"," ",47149,"Rutherford County",4704,-86.362094,35.849139
176080,"Mississippi State University","Lee Boulevard","Mississippi State","MS","39762",28," 5","Dr. Mark Keenum","President","6623252323","646000819","00242300",1,"www.msstate.edu/","www.admissions.msstate.edu/","www.sfa.msstate.edu/","www.msstate.edu/web/applyonline.php","www.collegeportraits.org/MS/MSU/estimator/agree",1,1,1,9,1,1,11,1,2,2,1,2,41,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,15,14,14,11,4,16,15,1,5,44260,2,-2,-2,1,"Mississippi Institutions of Higher Learning"," ",28105,"Oktibbeha County",2803,-88.879658,33.425002
188030,"New Mexico State University-Main Campus","2850 Weddell Street","Las Cruces","NM","88003-8001",35," 6","Barbara Couture","President","5756460111","856000401","00265700",1,"www.nmsu.edu/","prospective.nmsu.edu/","fa.nmsu.edu/","prospective.nmsu.edu/apply/index.html","nmsu.studentaidcalculator.com/",1,1,1,9,1,1,12,1,2,2,2,2,22,1,"A ",-2,-2,"-2",1,1,1,1,1,"NMSU",2,16,14,15,9,4,15,15,1,4,29740,1,238,-2,1,"New Mexico State University System","5756466330",35013,"Doña Ana County",3502,-106.747841,32.282875
199193,"North Carolina State University at Raleigh","2101 Hillsborough Street","Raleigh","NC","27695-7001",37," 5","Dr. W. Randolph Woodson","Chancellor","9195152011","566000756","00297200",1,"www.ncsu.edu","www.ncsu.edu/future-students/admissions/index.php","www.fis.ncsu.edu/financial_aid/","www.ncsu.edu/future-students/apply/index.php","www.collegeportraits.org/NC/NC-State/estimator/agree",1,1,1,9,1,1,11,1,2,2,1,2,11,1,"A ",-2,-2,"-2",1,1,1,1,1,"NC State University | NC State | N C State University | N C State | NCSU",2,15,11,17,12,4,16,15,1,5,39580,1,450,-2,1,"University of North Carolina"," ",37183,"Wake County",3704,-78.674517,35.785111
147703,"Northern Illinois University","1425 W. Lincoln Hwy.","Dekalb","IL","60115-2828",17," 3","John G. Peters","President","8008923050","366008480","00173700",1,"www.niu.edu","www.niu.edu/Apply/index.shtml","www.niu.edu/fa/","www.niu.edu/admissions/onlineapp.shtml","www.niu.edu/bursar/tuition/estimator.shtml",1,1,1,9,1,1,11,1,2,2,2,2,23,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,16,11,15,11,4,16,15,2,5,16980,1,176,-2,2," "," ",17037,"DeKalb County",1716,-88.766065,41.933791
147767,"Northwestern University","633 Clark St","Evanston","IL","60208",17," 3","Morton O. Schapiro","President","8474913741","362167817","00173900",1,"www.northwestern.edu","www.northwestern.edu/admissions/","www.northwestern.edu/admissions/","www.northwestern.edu/admissions/","ug-finaid.northwestern.edu/college_cost_calculator.html",2,1,2,9,1,1,11,1,2,2,1,2,13,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,15,8,14,12,6,17,15,2,5,16980,1,176,-2,2," "," ",17031,"Cook County",1709,-87.673653,42.058377
204796,"Ohio State University-Main Campus","190 N. Oval Mall","Columbus","OH","43210",39," 3","E. Gordon Gee","President","6142926446","316025986","00309000",1,"www.osu.edu","www.osu.edu/futurestudents/","www.sfa.osu.edu","www.osu.edu/futurestudents/","sfa.osu.edu/npc/",1,1,1,9,1,1,11,1,2,1,1,2,11,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,15,11,14,13,4,15,15,1,5,18140,1,198,-2,2," ","6142927199",39049,"Franklin County",3903,-83.009001,39.998389
204857,"Ohio University-Main Campus","020 Chubb Hall","Athens","OH","45701-2979",39," 3","Dr. Roderick J. McDavis","President","7405931000","316402113","00310000",1,"www.ohio.edu","www.ohio.edu/admissions/","www.ohio.edu/financialaid/","https://www.applyweb.com/apply/ohiou/menu.html","www.collegeportraits.org/OH/OU/estimator",1,1,1,9,1,1,11,1,2,2,1,2,32,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,16,14,14,10,4,16,15,2,5,11900,2,-2,-2,2," "," ",39009,"Athens County",3915,-82.094162,39.334351
207388,"Oklahoma State University-Main Campus","107 Whitehurst","Stillwater","OK","74078-1015",40," 6","President V Burns Hargis","President, Oklahoma State University","4057445000","736017987","00317000",1,"www.okstate.edu/"," ","www.okstate.edu/finaid/","admissions.okstate.edu/apply/","okstate.studentaidcalculator.com/welcome.aspx",1,1,1,9,1,1,11,1,2,2,1,2,32,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,16,14,14,11,4,16,15,1,5,44660,2,-2,-2,1,"Oklahoma State System of Higher Education"," ",40119,"Payne County",4003,-97.069743,36.123085
209542,"Oregon State University","1500 S.W. Jefferson","Corvallis","OR","97331",41," 8","Edward J. Ray","President","5417370123","481278540","00321000",1,"oregonstate.edu","oregonstate.edu/admissions/","oregonstate.edu/financialaid/","https://adminfo.ucsadm.oregonstate.edu/prod/bwskalog.P_DispLoginNon","oregonstate.edu/financialaid/net-price-calculator",1,1,1,9,1,1,11,1,2,2,1,2,13,1,"A ",-2,-2,"-2",1,1,1,1,1,"OSU",2,15,14,14,11,4,15,15,1,5,18700,1,440,-2,1,"Oregon University System"," ",41003,"Benton County",4104,-123.27415,44.564524
